# Number of items
90
# Stacking height
5
# Number of stacks
68
# Item name, Appearance, First associated value, and Second associated value
# (Appearance: 0 for I^{fix}, 1 for I^1, 2 for I^2)
   001     0    40     8
   002     0    59    48
   003     0    11    50
   004     0    80    78
   005     0     9    59
   006     0    48    24
   007     0    34    67
   008     0    53    40
   009     0    61    37
   010     0    63    49
   011     0    24     7
   012     0    51    13
   013     0    17     5
   014     0     8    16
   015     0    20     5
   016     0    45    24
   017     0     6    11
   018     0    93    66
   019     0    55    16
   020     0    11    93
   021     0    53    21
   022     0    58    14
   023     0    61    82
   024     0    20    12
   025     0    28    19
   026     0     8    12
   027     0    58    29
   028     0    58    27
   029     0    14     5
   030     0     8     6
   031     0    61    53
   032     0    18    10
   033     0     7     9
   034     1    28    18
   035     1    52    24
   036     1    95    56
   037     1     7    74
   038     1    32    10
   039     1    10    12
   040     1    22    78
   041     1     6    29
   042     1    72    29
   043     1    64    47
   044     1    42    76
   045     1    82    17
   046     1    82    33
   047     1    96    54
   048     1    45    38
   049     1    34    19
   050     1    68    51
   051     1    73    84
   052     1    23    43
   053     1    58    73
   054     1    62    31
   055     1    95    76
   056     1    15    22
   057     1    25    31
   058     1    75    89
   059     2    61    97
   060     2    61    91
   061     2    16    90
   062     2    46    71
   063     2    96   100
   064     2    59    28
   065     2    74    69
   066     2    85    80
   067     2    31    70
   068     2     5    86
   069     2    65    35
   070     2    36    50
   071     2    20    74
   072     2    41    81
   073     2    11    63
   074     2    14    77
   075     2    14    14
   076     2    21    17
   077     2    46    91
   078     2    59    84
   079     2    98    68
   080     2    41    38
   081     2    76    65
   082     2    93    62
   083     2    61    58
   084     2     8    89
   085     2    19    82
   086     2    67    22
   087     2    13    79
   088     2    68    66
   089     2    50    54
   090     2    97    42
# Positions of Ifix-items in the format (itemName, stack, level)
   001     6     2
   002    15     1
   003     9     2
   004    11     1
   005     4     1
   006     3     2
   007    16     1
   008     2     1
   009    13     1
   010     1     1
   011     7     1
   012    10     2
   013     7     2
   014     1     2
   015     6     3
   016     3     3
   017     1     3
   018    12     1
   019    14     1
   020     9     1
   021     2     2
   022     6     1
   023    17     1
   024     2     3
   025     5     2
   026     4     2
   027    10     1
   028     5     1
   029     5     3
   030     8     2
   031     3     1
   032     8     1
   033     4     3
# Density of stacking matrix = 0.31
