# Number of items
90
# Stacking height
6
# Number of stacks
68
# Item name, Appearance, First associated value, and Second associated value
# (Appearance: 0 for I^{fix}, 1 for I^1, 2 for I^2)
   001     0    45    88
   002     0    36    15
   003     0     8     6
   004     0    25     9
   005     0     5    36
   006     0    32    74
   007     0    52    26
   008     0    37    92
   009     0     5    77
   010     0     6    21
   011     0    35    12
   012     0     9    85
   013     0    11    92
   014     0    20    40
   015     0    28    10
   016     0    13    31
   017     0     6    21
   018     0    88    90
   019     0    31     8
   020     0    68     9
   021     0    10     8
   022     0    60    33
   023     1    41    80
   024     1    90    37
   025     1    67    89
   026     1    18    21
   027     1    62     5
   028     1    21    19
   029     1    73    74
   030     1    13    53
   031     1    70    11
   032     1    61    67
   033     1    51    15
   034     1    29    50
   035     1    85    84
   036     1     5    74
   037     1    80    17
   038     1    94    76
   039     1    64    25
   040     1    28    45
   041     1     5    16
   042     1    62    39
   043     1    41    62
   044     1    60    43
   045     1    61    21
   046     2    48    30
   047     2    82    46
   048     2    26    53
   049     2    63    68
   050     2    89    78
   051     2    45    66
   052     2    89    22
   053     2    20    75
   054     2    98    14
   055     2    13    23
   056     2    21     8
   057     2    97    79
   058     2     7    88
   059     2    49    57
   060     2    21    34
   061     2    79    96
   062     2    10    59
   063     2    58    23
   064     2    95    40
   065     2    98    73
   066     2    28    13
   067     2    24    17
   068     2    97    28
   069     2    99    28
   070     2    54    25
   071     2    58    42
   072     2    71    15
   073     2    82     5
   074     2    97    14
   075     2    64    52
   076     2     5    77
   077     2    57    27
   078     2    45    84
   079     2    72   100
   080     2    79    17
   081     2    88    45
   082     2    90    84
   083     2    95    96
   084     2    34    83
   085     2    55    84
   086     2    13    49
   087     2    84    49
   088     2    85    57
   089     2    84    99
   090     2    96    49
# Positions of Ifix-items in the format (itemName, stack, level)
   001     5     1
   002     4     1
   003     2     3
   004     7     2
   005     5     3
   006     6     2
   007     8     2
   008     6     1
   009     3     3
   010     1     4
   011     4     2
   012     3     2
   013     3     1
   014     5     2
   015     2     1
   016     1     2
   017     1     3
   018     1     1
   019     4     3
   020     7     1
   021     2     2
   022     8     1
# Density of stacking matrix = 0.27
